002,PT BANK RAKYAT INDONESIA (PERSERO) Tbk,"Jl. Jend. Sudirman Kav. 44-46, Jakarta 10210","(021) 2510244, 2510254, 2510269-264","(021) 2500077, 2500065",www.bri.co.id
008,PT BANK MANDIRI (PERSERO) Tbk,"Plaza Mandiri, Jl. Gatot Subroto Kav. 36-38, Jakarta 12190","(021) 5245006, 5245858, 5245849, 52997777","(021) 5263459, 5263460, 5268246, 52997735",www.bankmandiri.co.id
009,PT BANK NEGARA INDONESIA (PERSERO) Tbk,"Jl. Jend. Sudirman Kav. 1, Jakarta 10220",(021) 2511218-19-20-22-24-25-26-29,"(021) 2511221, 5709506",www.bni.co.id
200,PT BANK TABUNGAN NEGARA (PERSERO) Tbk,"Gedung Menara BTN, Jl. Gajah Mada No. 1, Jakarta 10130","(021) 2310490, 6336789, 26533555",(021) 6346704,www.btn.co.id
011,PT BANK DANAMON INDONESIA Tbk,"Menara Bank Danamon, Jl. HR. Rasuna Said Blok C No. 10, Karet Setiabudi, Jakarta Selatan 12940",(021) 8064 5000,(021) 80645033,www.danamon.co.id
013,PT BANK PERMATA Tbk,"Gedung World Trade Center (WTC) II, Jl. Jend. Sudirman Kav. 29-31 Jakarta 12920",(021) 5237788,(021) 5237253,www.permatabank.com
014,PT BANK CENTRAL ASIA Tbk,"Menara BCA, Grand Indonesia Jl. M.H Thamrin No. 1, Jakarta 10310",(021) 2358-8000,(021) 2358-8300,www.bca.co.id
016,PT BANK MAYBANK INDONESIA Tbk,"Gedung Sentral Senayan 3, Lt. 26, Jl. Asia Afrika No. 8, Gelora Bung Karno - Senayan, Jakarta Pusat 10270",(021) 29228888,(021) 29228914,www.maybank.co.id
019,PT PAN INDONESIA BANK Tbk,"Panin Bank Centre, Jl. Jend. Sudirman Kav. 1 (Senayan), Jakarta 10270",(021) 2700545 (10 lines),"(021) 2700340, 2700391",www.panin.co.id
022,PT BANK CIMB NIAGA Tbk,"Graha Niaga / Niaga Tower Jl. Jend. Sudirman Kav. 58, Jakarta 12190","(021) 2505151, 2505252, 2505353","(021) 2505202, 2505205",www.cimbniaga.com
023,PT BANK UOB INDONESIA,"Gedung UOB Plaza, Jl. M.H. Thamrin No. 10 Jakarta 10230",(021) 23506000,(021) 29936632,www.uob.co.id
028,PT BANK OCBC NISP Tbk,"OCBC NISP Tower, Jl. Prof.Dr. Satrio Kav. 25, Jakarta Selatan 12950",(021) 25533888,(021) 57944000,www.ocbcnisp.com
037,PT BANK ARTHA GRAHA INTERNASIONAL Tbk,"Gedung Arha Graha, Lt. 5, Jl. Sudirman Kav. 52-53, Senayan, Jakarta 12190","(021) 5711095, 5152168",(021) 5711084,www.arthagraha.com
076,PT BANK BUMI ARTA Tbk,"Jl. KH. Wahid Hasyim No. 234, Jakarta 10250","(021) 2300893, 2300455","(021) 3102632, 325291, 2303624",www.bankbba.co.id
087,PT BANK HSBC INDONESIA,"World Trade Centre 1, Lt.3 Jl. Jend Sudirman Kav. 29-31, Karet Kuningan, Setiabudi, Jakarta Selatan 12920",(021) 25514777,(021) 52961015,www.hsbc.co.id
095,PT BANK JTRUST INDONESIA Tbk,"Gedung Sahid Sudirman Center Lt. 33 Jl. Sudirman No. 86, Jakarta Pusat 10220",(021) 29261111(HUNTING),(021) 5224670,www.jtrustbank.co.id
097,PT BANK MAYAPADA INTERNATIONAL Tbk,"Mayapada Tower - 2nd Floor, Jl. Jend. Sudirman Kav. 28, Jakarta 12920","(021) 5212288, 5212300",(021) 5211995-965-539-985,www.bankmayapada.com
146,PT BANK OF INDIA INDONESIA Tbk,"Jl. H. Samanhudi No. 37, Jakarta 10710","(021) 3808178, 3500007 (HUNTING)",(021) 3808178,www.boiindonesia.co.id
147,PT BANK MUAMALAT INDONESIA Tbk,"Gedung Muamalat Tower Jl. Prof. Dr. Satrio Kav. 18, Jakarta 10220",(021) 80666000,"(021) 2511465, 2511453",www.muamalatbank.com
151,PT BANK MESTIKA DHARMA Tbk,"Jl. Zainul Arifin 118, Medan 20153","(061) 4525800, 4560991-5500","(061) 4525800, 4560991-5500",www.bankmestika.co.id
152,PT BANK SHINHAN INDONESIA,"Ged. International Financial Centre (IFC) Tower 2 Lt. Dasar, Mezz anine, 30 dan 31 Jl. Jend. Sudirman Kav. 22-23 Jakarta Selatan",(021) 29751500,"(021) 2311522, 2310159",www.shinhan.co.id
153,PT BANK SINARMAS Tbk,"Sinarmas Land Plaza, Menara I, Lt. 1 &2 Jl. MH. Thamrin Kav. 51, Jakarta 10350",(021) 31990101,(021) 31990405,www.banksinarmas .co.id
157,PT BANK MASPION INDONESIA Tbk,"Jl. Basuki Rahmat No. 50 - 54, Surabaya","(031) 5319818, 5456334, 5356123",(031) 3536839,www.bankmaspion.co.id
161,PT BANK GANESHA Tbk,"Wisma Hayam Wuruk Lt.1 & 2, Jl. Hayam Wuruk No. 8, Jakarta Pusat",(021) 29109900,(021) 29109992,www.bankganesha.co.id
164,PT BANK ICBC INDONESIA,"ICBC Tower Lt. 32, Jl. M.H. Thamrin No. 81, Jakarta Pusat",021-23556000,(021) 31996016,www.icbcindo.com
167,PT BANK QNB INDONESIA Tbk,Revenue Tower District 8 Lt.8 Jl. Jend. Sudirman Kav. 52-53 Jakarta 12190,(021) 5155155,(021) 5155155,www.qnb.co.id
